,Unnamed: 0,Unnamed: 0.1,Hotel Name,Review,Review_Lemma,Keyword,Sentiment,User Contribution,Recency,joy,sadness,fear,disgust,anger,MHRs,Index,abs_Sentiment,new_MHR,Normalized_User_Contribution,Recency_new,Score,Bucket
5,287,305,ibis Bengaluru Outer Ring Road Hotel,"rooms are more like space-ship cabins, not fit for human accommodation.","room be more like space - ship cabin , not fit for human accommodation .",human accommodation,-0.402768,109,Sep-18,0.114605,0.167724,0.050627,0.493765,0.108704,0.076832991,287,0.402768,0.076832991,0.04082397,318 days 00:00:00.000000000,2.116975417,ambience
6,280,298,ibis Bengaluru Outer Ring Road Hotel,"There are other reviews that talk about the badly designed small rooms, lack of amenities etc.","there be oth review that talk about the badly design small room , lack of amenity etc .",lack of amenity,-0.895128,3,Dec-18,0.159681,0.181659,0.12929,0.212406,0.086792,0.076407216,280,0.895128,0.076407216,0.001123596,227 days 00:00:00.000000000,1.613119545,ambience
7,288,306,ibis Bengaluru Outer Ring Road Hotel,"This is a complete budget friendly hotel, so please expect such services only.","this be a complete budget friendly hotel , so please expect such service only .",friendly hotel,-0.705534,50,Aug-18,0.508793,0.029566,0.10726,0.218922,0.162277,0.078064315,288,0.705534,0.078064315,0.018726592,349 days 00:00:00.000000000,1.516530844,ambience
8,281,299,ibis Bengaluru Outer Ring Road Hotel,"Fruits and salads served in the buffet are also garnished with some other kinds of bugs, probably edible in nature, who knows.","fruit and salad serve in the buffet be also garnish with some oth kind of bug , probably edible in nature , who know .",nature,-0.584762,3,Dec-18,0.545048,0.171577,0.102774,0.085786,0.097389,0.077087456,281,0.584762,0.077087456,0.001123596,227 days 00:00:00.000000000,1.319835026,ambience
9,290,308,ibis Bengaluru Outer Ring Road Hotel,Certainly Not recommended for anyone looking for a peaceful stay.,certainly not recommend for anyone look for a peaceful stay .,peaceful stay,-0.397837,1,Apr-18,0.57341,0.124213,0.077259,0.164139,0.046013,0.07746691,290,0.397837,0.07746691,0.000374532,471 days 00:00:00.000000000,1.123216022,ambience
10,292,310,ibis Bengaluru Outer Ring Road Hotel,This is not my first stay at a 3 star hotel I have stayed different kind of hotel..,this be not my first stay at a 3 star hotel i have stay different kind of hotel ..,different kind of hotel,-0.375847,5,Mar-17,0.640592,0.058074,0.055497,0.158438,0.063894,0.075151142,292,0.375847,0.075151142,0.001872659,867 days 00:00:00.000000000,0.902490583,ambience
11,282,300,ibis Bengaluru Outer Ring Road Hotel,"Ambiance is nice, only problem is with sitting space, there sofas are below the level of chairs, make its uncomfortable.","Ambiance be nice , only problem be with sit space , there sofa be below the level of chair , make its uncomfortable .",Ambiance,-0.81693,543,Oct-18,0.958169,0.009948,0.006744,0.003605,0.008588,0.074740156,282,0.81693,0.074740156,0.203370787,288 days 00:00:00.000000000,0.760376861,ambience
12,289,307,ibis Bengaluru Outer Ring Road Hotel,"The kind of ambiance they provide there, it never lets you feel like you're away from home.","the kind of ambiance they provide there , it never let you feel like you 're away from home .",kind of ambiance,-0.401486,2,Apr-18,0.324196,0.03633,0.028198,0.023058,0.067389,0.076968091,289,0.401486,0.076968091,0.000749064,471 days 00:00:00.000000000,0.631045447,ambience
0,1213,1318,ibis Bengaluru Outer Ring Road Hotel,In the room the toilet water faucet had a problem.,in the room the toilet water faucet have a problem .,room,-0.766366,707,Apr-18,0.01124,0.215632,0.187865,0.684968,0.230139,0.015367585,1213,0.766366,0.059338017,0.257840992,471 days 00:00:00.000000000,3.599977156,amenities
1,1171,1270,ibis Bengaluru Outer Ring Road Hotel,"bed linen also not changed in daily bases, room was pathetic conditions.","bed linen also not change in daily basis , room be pathetic condition .",room,-0.78755,3,Jun-19,0.008816,0.270054,0.09064,0.47786,0.516686,0.015728986,1171,0.78755,0.060733478,0.001094092,45 days 00:00:00.000000000,3.541101918,amenities
2,1197,1301,ibis Bengaluru Outer Ring Road Hotel,The cook at the interactive kitchen was rude and not friendly.,the cook at the interactive kitchen be rude and not friendly .,interactive kitchen,-0.902838,29,Sep-18,0.039639,0.096235,0.149345,0.292883,0.720202,0.015386709,1197,0.902838,0.059411862,0.010576222,318 days 00:00:00.000000000,3.508825663,amenities
3,1187,1290,ibis Bengaluru Outer Ring Road Hotel,"Almost all the rooms on all the floors except the 5th floor are infested with small bugs which you can find in the furniture crevices, curtains etc.","almost all the room on all the floor except the 5th floor be infest with small bug which you can find in the furniture crevice , curtain etc .",room,-0.740916,3,Dec-18,0.025708,0.169503,0.345511,0.30024,0.533977,0.015281092,1187,0.740916,0.059004048,0.001094092,227 days 00:00:00.000000000,3.503607202,amenities
4,1219,1324,ibis Bengaluru Outer Ring Road Hotel,"The reason being room 701 is the last room near emergency exit and it feels annoying when when someone open closes exit doors frequent, it feels as if someone is knocking your door.","the reason be room 701 be the last room near emergency exit and it feel annoying when when someone open close exit door frequent , it feel as if someone be knock your door .",room,-0.916922,32,Dec-17,0.019764,0.281067,0.337042,0.167316,0.553944,0.015515625,1219,0.916922,0.059909636,0.011670314,592 days 00:00:00.000000000,3.447980128,amenities
5,1175,1275,ibis Bengaluru Outer Ring Road Hotel,"the guy who served food in my room insisted that I need to settle the amount immediately, while my preference was to settle at the time of checkout and totally to get a single bill.
","the guy who serve food in my room insist that i nee to settle the amount immediately , while my preference be to settle at the time of checkout and totally to get a single bill . 
",room,-0.258165,3,May-19,0.065167,0.04223,0.165653,0.428143,0.589931,0.015018751,1175,0.258165,0.057991086,0.001094092,76 days 00:00:00.000000000,3.343600668,amenities
6,1199,1303,ibis Bengaluru Outer Ring Road Hotel,Just one issue: laundry at hotel is expensive and it is difficult to wash and dry clothes in the room itself as my room did not have a window that could open.,just one issue : laundry at hotel be expensive and it be difficult to wash and dry clothe in the room itself as my room do not have a window that could open .,room,-0.863871,1,Aug-18,0.018782,0.336597,0.400368,0.272013,0.306387,0.014934332,1199,0.863871,0.057665123,0.000364697,349 days 00:00:00.000000000,3.17779867,amenities
7,1181,1283,ibis Bengaluru Outer Ring Road Hotel,how bad I leave the room .,how bad i leave the room .,room,-0.846053,1,Mar-19,0.008183,0.555381,0.244871,0.208816,0.288352,0.01573881,1181,0.846053,0.060771411,0.000364697,137 days 00:00:00.000000000,3.175874584,amenities
8,1208,1313,ibis Bengaluru Outer Ring Road Hotel,The first thing that went wrong at check in was the staff said that nowhere in the world at any Ibis hotel 3 people could stay in a room.,the first thing that go wrong at check in be the staff say that nowhere in the world at any Ibis hotel 3 people could stay in a room .,room,-0.935002,707,Apr-18,0.192521,0.477588,0.150093,0.19252,0.217321,0.015101712,1208,0.935002,0.058311418,0.257840992,471 days 00:00:00.000000000,3.022941958,amenities
9,1224,1329,ibis Bengaluru Outer Ring Road Hotel,"Phone in Hotel room was extremely noisy and call quality was very very poor as a result.
","Phone in Hotel room be extremely noisy and call quality be very very poor as a result . 
",Hotel room,-0.963488,1,Sep-17,0.085805,0.243991,0.375051,0.279884,0.347701,0.015425226,1224,0.963488,0.059560583,0.000364697,683 days 00:00:00.000000000,3.013289361,amenities
10,1184,1287,ibis Bengaluru Outer Ring Road Hotel,I got really disappointed the moment I entered into the room.,i get really disappointed the moment i enter into the room .,room,-0.959735,6,Jan-19,0.035461,0.69939,0.213363,0.116593,0.206768,0.015573386,1184,0.959735,0.060132665,0.002188184,196 days 00:00:00.000000000,2.961305084,amenities
11,1201,1306,ibis Bengaluru Outer Ring Road Hotel,It took another half hour to actually get my room.,it take another half hour to actually get my room .,room,-0.568298,5,Aug-18,0.125959,0.215193,0.270601,0.245623,0.405841,0.015685538,1201,0.568298,0.060565712,0.001823487,349 days 00:00:00.000000000,2.929757428,amenities
12,1217,1322,ibis Bengaluru Outer Ring Road Hotel,"The small gestures like an opening in the barricade for a faster security check at the airport when I travel with my 86 year old father, two extra bottles of water in the room when the housekeeping staff sees the many empty bottles of water I have used, a covered plate of dinner in the room when I land up late","the small gesture like an opening in the barricade for a fast security check at the airport when i travel with my 86 year old father , two extra bottle of water in the room when the housekeeping staff see the many empty bottle of water i have use , a cover plate of dinner in the room when i land up late",room,-0.349371,707,Apr-18,0.075902,0.393354,0.110751,0.308523,0.189617,0.01499413,1217,0.349371,0.057896018,0.257840992,471 days 00:00:00.000000000,2.923853159,amenities
13,1192,1296,ibis Bengaluru Outer Ring Road Hotel,"Ambiance is nice, only problem is with sitting space, there sofas are below the level of chairs, make its uncomfortable.","Ambiance be nice , only problem be with sit space , there sofa be below the level of chair , make its uncomfortable .",sit space,-0.81693,543,Oct-18,0.028628,0.668759,0.188078,0.118999,0.087116,0.015595509,1192,0.81693,0.060218089,0.198030635,288 days 00:00:00.000000000,2.867314423,amenities
14,1209,1314,ibis Bengaluru Outer Ring Road Hotel,"As if the 'never say yes' attitude of staff was not enough, low light in the room was even more depressing!","as if the ' never say yes ' attitude of staff be not enough , low light in the room be even more depressing !",room,-0.945857,8,Apr-18,0.010715,0.695611,0.279783,0.270564,0.036599,0.015231881,1209,0.945857,0.058814031,0.002917578,471 days 00:00:00.000000000,2.823448357,amenities
15,1214,1319,ibis Bengaluru Outer Ring Road Hotel,It was a matter of minutes to wait and my registration was done and I was in my room.,it be a matter of minute to wait and my registration be do and i be in my room .,room,-0.604818,4,Mar-18,0.115567,0.347642,0.152031,0.111452,0.428841,0.01514808,1214,0.604818,0.058490458,0.001458789,502 days 00:00:00.000000000,2.720248167,amenities
16,1211,1316,ibis Bengaluru Outer Ring Road Hotel,"Mr inayat M F who really went beyond his call of duty to help allot room, smoothen the check-in & check-out process.
","Mr inayat M F who really go beyond his call of duty to help allot room , smoothen the check - in & check - out proces . 
",allot room,-0.707286,35,Apr-18,0.148063,0.180362,0.35824,0.123841,0.368745,0.015591312,1211,0.707286,0.060201882,0.012764406,471 days 00:00:00.000000000,2.675325712,amenities
17,1206,1311,ibis Bengaluru Outer Ring Road Hotel,After half an hour I got a call to pay the bill as per some policy and that it could not be put on the room.,after half an hour i get a call to pay the bill as per some policy and that it could not be put on the room .,room,-0.781333,128,Jun-18,0.03,0.196508,0.179044,0.237038,0.370109,0.015244227,1206,0.781333,0.058861702,0.046681255,410 days 00:00:00.000000000,2.658039998,amenities
18,1194,1298,ibis Bengaluru Outer Ring Road Hotel,"- Half the lights in the room not working.
","- Half the light in the room not work . 
",room,-0.634611,1,Sep-18,0.042104,0.641016,0.366289,0.085096,0.040152,0.015151385,1194,0.634611,0.058503218,0.000364697,318 days 00:00:00.000000000,2.554311326,amenities
19,1177,1278,ibis Bengaluru Outer Ring Road Hotel,I wish the room had a clock,i wish the room have a clock,room,-0.730443,2,May-19,0.141093,0.396797,0.3712,0.087925,0.137331,0.015671284,1177,0.730443,0.060510676,0.000729395,76 days 00:00:00.000000000,2.429902454,amenities
20,1176,1276,ibis Bengaluru Outer Ring Road Hotel,"Rooms are compact.. if you are visiting this hotel, don't expect big rooms and washrooms","room be compact .. if you be visit this hotel , do n't expect big room and washroom",big room,-0.317475,5,Apr-19,0.133724,0.265823,0.338334,0.399148,0.038661,0.015464801,1176,0.317475,0.059713395,0.001823487,106 days 00:00:00.000000000,2.422772594,amenities
21,1186,1289,ibis Bengaluru Outer Ring Road Hotel,Rooms and bathrooms are small and with no iron board.,room and bathroom be small and with no iron board .,room,-0.53638,67,Dec-18,0.168415,0.069051,0.246593,0.440249,0.190138,0.015436595,1186,0.53638,0.059604482,0.024434719,227 days 00:00:00.000000000,2.401250325,amenities
22,1207,1312,ibis Bengaluru Outer Ring Road Hotel,Certainly the one of the worst hotels especially in terms of hospitality.,certainly the one of the bad hotel especially in term of hospitality .,bad hotel,-0.688827,1,Apr-18,0.064896,0.277391,0.140376,0.62715,0.02973,0.015513739,1207,0.688827,0.059902355,0.000364697,471 days 00:00:00.000000000,2.397830244,amenities
23,1215,1320,ibis Bengaluru Outer Ring Road Hotel,"There are many people in the cleaning crew who take time to wish you and would come to help instantaneously if something is missing in the room.
","there be many people in the cleaning crew who take time to wish you and would come to help instantaneously if something be miss in the room . 
",room,-0.780423,1,Feb-18,0.071936,0.653973,0.262244,0.030017,0.098284,0.014963278,1215,0.780423,0.057776888,0.000364697,530 days 00:00:00.000000000,2.389132329,amenities
24,1227,1332,ibis Bengaluru Outer Ring Road Hotel,I also ordered food and asked them to deliver in my room and room delivery charge is 100rs.,i also order food and ask them to deliver in my room and room delivery charge be 100r .,room,-0.743311,65,Sep-17,0.058233,0.379297,0.03736,0.105792,0.374648,0.015274253,1227,0.743311,0.058977639,0.023705325,683 days 00:00:00.000000000,2.386691729,amenities
25,1222,1327,ibis Bengaluru Outer Ring Road Hotel,"While the location is convenient, the rooms and the bathroom aren't.","while the location be convenient , the room and the bathroom be n't .",room,-0.627325,3,Oct-17,0.072913,0.049152,0.232216,0.574405,0.164156,0.015163005,1222,0.627325,0.058548084,0.001094092,653 days 00:00:00.000000000,2.382261636,amenities
26,1169,1268,ibis Bengaluru Outer Ring Road Hotel,"The restaurant does not deliver to your room, you need to pick up stuff from the reception - this is really cumbersome, when you are lazying around 2.","the restaurant do not deliver to your room , you nee to pick up stuff from the reception - this be really cumbersome , when you be lazye around 2 .",room,-0.925867,1,Jul-19,0.138182,0.097545,0.308892,0.214054,0.275549,0.015059605,1169,0.925867,0.058148831,0.000364697,15 days 00:00:00.000000000,2.381416317,amenities
27,1200,1304,ibis Bengaluru Outer Ring Road Hotel,"However the rooms were small , so small that for one additional family member you have to book additional rooms instead of placing additional bed in the room thus becoming expensive for accomodating one person.
","however the room be small , so small that for one additional family member you have to book additional room instead of place additional bed in the room thus become expensive for accomodate one person . 
",additional room,-0.525313,171,Aug-18,0.239593,0.49925,0.172808,0.092465,0.147328,0.015269401,1200,0.525313,0.058958907,0.062363239,349 days 00:00:00.000000000,2.338296321,amenities
28,1202,1307,ibis Bengaluru Outer Ring Road Hotel,Same evening 5.30 - room is not made.,Same evening 5.30 - room be not make .,room,-0.614898,32,Aug-18,0.138182,0.097545,0.308892,0.214054,0.275549,0.015698136,1202,0.614898,0.060614358,0.011670314,349 days 00:00:00.000000000,2.336820374,amenities
29,1178,1279,ibis Bengaluru Outer Ring Road Hotel,"If you keep the TV channel menu card in the room, you should live up to that, otherwise don't keep that menu card in the room.
","if you keep the TV channel menu card in the room , you should live up to that , otherwise do n't keep that menu card in the room . 
",room,-0.817635,13,Apr-19,0.076085,0.390729,0.041171,0.053635,0.329898,0.015192671,1178,0.817635,0.058662634,0.004741065,106 days 00:00:00.000000000,2.26467723,amenities
30,1220,1325,ibis Bengaluru Outer Ring Road Hotel,However wouldn't say comfortable as the rooms were not sound proof,however would n't say comfortable as the room be not sound proof,room,-0.72632,5,Dec-17,0.138182,0.097545,0.308892,0.214054,0.275549,0.015661429,1220,0.72632,0.060472623,0.001823487,592 days 00:00:00.000000000,2.264359447,amenities
31,1174,1273,ibis Bengaluru Outer Ring Road Hotel,"Hotel unable to provide taxi back to airport (despite using hotel cars twice a day to get to and from work) unwilling to help with booking alternative transport.

","Hotel unable to provide taxi back to airport ( despite use hotel car twice a day to get to and from work ) unwilling to help with book alternative transport . 

",use hotel car,-0.636739,3,Jun-19,0.082893,0.426817,0.051515,0.074657,0.281451,0.015533104,1174,0.636739,0.059977128,0.001094092,45 days 00:00:00.000000000,2.262754218,amenities
32,1189,1292,ibis Bengaluru Outer Ring Road Hotel,When I came back the first day in the evening the room was as is and stinking.,when i come back the first day in the evening the room be as be and stinking .,room,-0.636594,11,Dec-18,0.227446,0.190845,0.108886,0.441633,0.167988,0.014875237,1189,0.636594,0.057436941,0.00401167,227 days 00:00:00.000000000,2.260561144,amenities
33,1196,1300,ibis Bengaluru Outer Ring Road Hotel,He is providing another level of comfort whenever you enter into the room by looking at things having their original place and arrangements no matter how much messed you have kept your room.,he be provide another level of comfort whenever you enter into the room by look at thing have their original place and arrangement no matter how much mess you have keep your room .,room,-0.626829,1,Aug-18,0.330396,0.193005,0.179319,0.077989,0.353531,0.015407874,1196,0.626829,0.059493586,0.000364697,349 days 00:00:00.000000000,2.205557597,amenities
34,1188,1291,ibis Bengaluru Outer Ring Road Hotel,"As for the hotel, the room and bathroom was clean and was more or less what you would expect from a 3 star hotel - nothing fancy.","as for the hotel , the room and bathroom be clean and be more or less what you would expect from a 3 star hotel - nothing fancy .",room,-0.458024,7,Dec-18,0.221777,0.069408,0.108771,0.506986,0.170683,0.0150555,1188,0.458024,0.05813298,0.002552881,227 days 00:00:00.000000000,2.154722645,amenities
35,1198,1302,ibis Bengaluru Outer Ring Road Hotel,"The rooms were a bit cramped, however the services were good, Kumar and Chandru specially were quick to respond and great with the service.","the room be a bit cramped , however the service be good , Kumar and Chandru specially be quick to respond and great with the service .",room,-0.645244,1,Aug-18,0.239745,0.192315,0.325054,0.146352,0.194049,0.015385416,1198,0.645244,0.05940687,0.000364697,349 days 00:00:00.000000000,2.153754165,amenities
36,1232,1337,ibis Bengaluru Outer Ring Road Hotel,2 things which are a bit on negative side - food quality not that great and the rooms are really very small.,2 thing which be a bit on negative side - food quality not that great and the room be really very small .,room,-0.846405,9,Mar-17,0.341153,0.191873,0.266442,0.207213,0.20825,0.015210739,1232,0.846405,0.058732397,0.003282276,867 days 00:00:00.000000000,2.092578325,amenities
37,1218,1323,ibis Bengaluru Outer Ring Road Hotel,The guy at reception made 2 rooms available for our stay in next 15 mins even though the check-in time was 02:00 PM.,the guy at reception make 2 room available for our stay in next 15 min even though the check - in time be 02:00 PM .,room,-0.402204,32,Dec-17,0.28953,0.376921,0.101592,0.174622,0.1819,0.015357406,1218,0.402204,0.059298716,0.011670314,592 days 00:00:00.000000000,2.066046287,amenities
38,1205,1310,ibis Bengaluru Outer Ring Road Hotel,"The rooms are small, the lighting was to dim for me.","the room be small , the lighting be to dim for me .",room,-0.474214,128,Jun-18,0.321993,0.130006,0.238277,0.085181,0.246147,0.014892821,1205,0.474214,0.057504839,0.046681255,410 days 00:00:00.000000000,1.965188271,amenities
39,1185,1288,ibis Bengaluru Outer Ring Road Hotel,"The hotel lacks a pool but you can use the pool facilities for the next door Novotel hotel.

","the hotel lack a pool but you can use the pool facility for the next door Novotel hotel . 

",pool,-0.762924,377,Dec-18,0.395574,0.049053,0.182153,0.255711,0.144751,0.015217801,1185,0.762924,0.058759667,0.137490883,227 days 00:00:00.000000000,1.951560022,amenities
40,1225,1330,ibis Bengaluru Outer Ring Road Hotel,there is no free swimming pool you have to go to paid novotel pool.,there be no free swimming pool you have to go to pay novotel pool .,free swimming pool,-0.532236,1,Sep-17,0.240904,0.273298,0.21678,0.212343,0.124257,0.015292797,1225,0.532236,0.059049245,0.000364697,683 days 00:00:00.000000000,1.948924685,amenities
41,1216,1321,ibis Bengaluru Outer Ring Road Hotel,Most of the problems in the room were taken care of during the first few days itself.,Most of the problem in the room be take care of during the first few day itself .,room,-0.752273,1,Jan-18,0.257365,0.445591,0.081986,0.100462,0.156604,0.015288974,1216,0.752273,0.059034481,0.000364697,561 days 00:00:00.000000000,1.923522049,amenities
42,1226,1331,ibis Bengaluru Outer Ring Road Hotel,Lighting in the room is really subpar.,Lighting in the room be really subpar .,room,-0.818657,1,Sep-17,0.340964,0.125794,0.356125,0.191122,0.134091,0.015219262,1226,0.818657,0.058765306,0.000364697,683 days 00:00:00.000000000,1.919098808,amenities
43,1228,1333,ibis Bengaluru Outer Ring Road Hotel,"Due to work schedule, I could not spend time on leaving the room well arranged every morning.","due to work schedule , i could not spend time on leave the room well arrange every morning .",room,-0.826008,1,Jul-17,0.334468,0.294405,0.135433,0.134347,0.198931,0.015624432,1228,0.826008,0.060329768,0.000364697,745 days 00:00:00.000000000,1.885644803,amenities
44,1210,1315,ibis Bengaluru Outer Ring Road Hotel,"but No swimming pool.

","but no swimming pool . 

",swimming pool,-0.630534,894,Apr-18,0.174219,0.151545,0.093654,0.072945,0.08686,0.015711899,1210,0.630534,0.060667498,0.326039387,471 days 00:00:00.000000000,1.76855391,amenities
45,1221,1326,ibis Bengaluru Outer Ring Road Hotel,"Only one area of improvement - they do not provide iron boards in the room, but is at a common area on each floor.","only one area of improvement - they do not provide iron board in the room , but be at a common area on each floor .",room,-0.712134,14,Dec-17,0.265553,0.089142,0.178926,0.158746,0.213192,0.015403663,1221,0.712134,0.059477326,0.005105762,592 days 00:00:00.000000000,1.694508405,amenities
46,1183,1285,ibis Bengaluru Outer Ring Road Hotel,Room was not upto the price I paid.,Room be not upto the price i pay .,Room,-0.641979,6,Jan-19,0.068308,0.144639,0.08138,0.217508,0.169626,0.015425136,1183,0.641979,0.059560238,0.002188184,196 days 00:00:00.000000000,1.677096229,amenities
47,1182,1284,ibis Bengaluru Outer Ring Road Hotel,It's at prime location and you can avoid commute traffic pressure if your office is near to the Technology park Bellandur.,it ' at prime location and you can avoid commute traffic pressure if your office be near to the Technology park Bellandur .,Technology park Bellandur,-0.610559,2,Feb-19,0.013284,0.1276,0.297502,0.039327,0.146794,0.015514424,1182,0.610559,0.059904999,0.000729395,165 days 00:00:00.000000000,1.654871639,amenities
48,1172,1271,ibis Bengaluru Outer Ring Road Hotel,then why do you place a menu in the room?,then why do you place a menu in the room ?,room,-0.616423,4,Jun-19,0.359795,0.138283,0.126974,0.069714,0.223694,0.015456599,1172,0.616423,0.059681723,0.001458789,45 days 00:00:00.000000000,1.653585802,amenities
49,1234,1339,ibis Bengaluru Outer Ring Road Hotel,"Once you reach hotel, no one to pick up your luggage till your room.","once you reach hotel , no one to pick up your luggage till your room .",room,-0.810902,1,Feb-17,0.154297,0.162173,0.220486,0.108371,0.169382,0.015579257,1234,0.810902,0.060155336,0.000364697,895 days 00:00:00.000000000,1.617941531,amenities
50,1190,1293,ibis Bengaluru Outer Ring Road Hotel,In room dining option very less in-fact there is no menu inside room,in room dining option very less in - fact there be no menu inside room,room dining option,-0.907796,16,Nov-18,0.113594,0.22256,0.198272,0.055159,0.129684,0.015352019,1190,0.907796,0.059277913,0.005835157,257 days 00:00:00.000000000,1.61575258,amenities
51,1229,1334,ibis Bengaluru Outer Ring Road Hotel,Except for an almirah with electronic safe and tea-coffee machine you don't get anything else in the room.,except for an almirah with electronic safe and tea - coffee machine you do n't get anything else in the room .,room,-0.696584,96,Sep-17,0.400062,0.106539,0.163753,0.053242,0.232227,0.015501328,1229,0.696584,0.059854434,0.035010941,683 days 00:00:00.000000000,1.585963551,amenities
52,1193,1297,ibis Bengaluru Outer Ring Road Hotel,"There were obvious reasons to complain initially ( small gym, no swimming pool etc) but let me tell you, just ask & folks will arrange something.","there be obvious reason to complain initially ( small gym , no swimming pool etc ) but let me tell you , just ask & folk will arrange something .",pool,-0.870397,2,Oct-18,0.159681,0.181659,0.12929,0.212406,0.086792,0.015640744,1193,0.870397,0.060392753,0.000729395,288 days 00:00:00.000000000,1.567127271,amenities
53,1180,1281,ibis Bengaluru Outer Ring Road Hotel,"Despite being a smaller hotel than the Novotel, the rooms are just what youd expect for a good nights sleep without the unnecessary frills.","despite be a small hotel than the Novotel , the room be just what you d expect for a good night sleep without the unnecessary frill .",small hotel,-0.345845,46,Mar-19,0.495641,0.204502,0.028141,0.145666,0.156684,0.015402482,1180,0.345845,0.059472764,0.016776076,137 days 00:00:00.000000000,1.549578046,amenities
54,1230,1335,ibis Bengaluru Outer Ring Road Hotel,Swimming pool is inaccessible which is a letdown.,Swimming pool be inaccessible which be a letdown .,pool,-0.849796,15,Jun-17,0.361828,0.24534,0.101809,0.240452,0.056397,0.015697135,1230,0.849796,0.060610492,0.00547046,775 days 00:00:00.000000000,1.509168293,amenities
55,1191,1295,ibis Bengaluru Outer Ring Road Hotel,I was staying in room no 528.,i be stay in room no 528 .,room,-0.567533,1,Oct-18,0.311012,0.225667,0.105099,0.109553,0.117989,0.015481511,1191,0.567533,0.059777916,0.000364697,288 days 00:00:00.000000000,1.492687204,amenities
56,1231,1336,ibis Bengaluru Outer Ring Road Hotel,"The rooms of this hotel are small, shouldn't be a problem for a couple or a single person.
","the room of this hotel be small , should n't be a problem for a couple or a single person . 
",room of this hotel,-0.815819,1,Apr-17,0.492264,0.031721,0.169257,0.207036,0.158161,0.015368211,1231,0.815819,0.059340436,0.000364697,836 days 00:00:00.000000000,1.429359712,amenities
57,1173,1272,ibis Bengaluru Outer Ring Road Hotel,"Just no other activities like pool table or recreation stuff.
","just no oth activity like pool table or recreation stuff . 
",pool table,-0.527105,1,Jun-19,0.605404,0.112079,0.144036,0.132992,0.082268,0.015927994,1173,0.527105,0.061501897,0.000364697,45 days 00:00:00.000000000,1.339031966,amenities
58,1223,1328,ibis Bengaluru Outer Ring Road Hotel,"Upon being asked to send a plate and a spoon to the room (without ordering the food), the housekeeping manager Mr. Avinash Kumar asked me to pay Rs.62 for the same.","upon be ask to send a plate and a spoon to the room ( without order the food ) , the housekeeping manager Mr. Avinash Kumar ask me to pay Rs.62 for the same .",room,-0.380721,3,Oct-17,0.160541,0.09562,0.109723,0.133836,0.14556,0.01521186,1223,0.380721,0.058736726,0.001094092,653 days 00:00:00.000000000,1.29366292,amenities
59,1212,1317,ibis Bengaluru Outer Ring Road Hotel,Though there are issues on tech front (Internet very slow and TV don't work most of the time) but room was very well maintained...,though there be issue on tech front ( Internet very slow and TV do n't work most of the time ) but room be very well maintain ...,room,-0.707277,1,Mar-18,0.386203,0.103747,0.175176,0.089144,0.111392,0.01534351,1212,0.707277,0.059245057,0.000364697,502 days 00:00:00.000000000,1.281106183,amenities
60,1195,1299,ibis Bengaluru Outer Ring Road Hotel,"rooms are more like space-ship cabins, not fit for human accommodation.","room be more like space - ship cabin , not fit for human accommodation .",room,-0.402768,109,Sep-18,0.337884,0.074458,0.079272,0.193308,0.079056,0.015786077,1195,0.402768,0.060953919,0.039752006,318 days 00:00:00.000000000,1.263973345,amenities
61,1204,1309,ibis Bengaluru Outer Ring Road Hotel,"My ordering food from here is extra business, why should I pay for them to deliver even a cup of tea to my room?","my order food from here be extra busines , why should i pay for them to deliver even a cup of tea to my room ?",room,-0.891984,1,Jul-18,0.568846,0.28828,0.049263,0.056589,0.070743,0.015424938,1204,0.891984,0.059559472,0.000364697,380 days 00:00:00.000000000,1.238267904,amenities
62,1179,1280,ibis Bengaluru Outer Ring Road Hotel,"This time the only feedback I have is that the old bar area was much better than the current one, and now you also have lesser snack options available, which I thought could have been avoided.","this time the only feedback i have be that the old bar area be much well than the current one , and now you also have less snack option available , which i think could have be avoid .",old bar area,-0.74905,4,Mar-19,0.043788,0.31241,0.009764,0.023154,0.029036,0.015335326,1179,0.74905,0.059213458,0.001458789,137 days 00:00:00.000000000,1.069518863,amenities
63,1233,1338,ibis Bengaluru Outer Ring Road Hotel,First of all location of hotel is such that many cab drivers are reluctant to come there.,first of all location of hotel be such that many cab driver be reluctant to come there .,location of hotel,-0.755912,1,Feb-17,0.252795,0.097423,0.079963,0.152479,0.07044,0.01543302,1233,0.755912,0.05959068,0.000364697,895 days 00:00:00.000000000,0.997656219,amenities
64,1203,1308,ibis Bengaluru Outer Ring Road Hotel,"Room: Decently spacious, only drawback being the washroom are very small.","Room : decently spacious , only drawback be the washroom be very small .",Room,-0.236298,168,Jun-18,0,0,0,0,0,0.015559029,1203,0.236298,0.060077232,0.061269147,410 days 00:00:00.000000000,0.354139842,amenities
0,122,130,ibis Bengaluru Outer Ring Road Hotel,#NAME?,"- breakfast be a disaster , dirty table , nobody to get you a coffee or even a glas of water .",dirty table,-0.899992,40,Mar-18,0.034812,0.155842,0.101925,0.819342,0.107537,0.111535465,122,0.899992,0.111535465,0.023323615,502 days 00:00:00.000000000,2.838123834,cleanliness
1,120,128,ibis Bengaluru Outer Ring Road Hotel,It smelled BAD.. cleaned with a dirty clothes..,it smell BAD .. clean with a dirty clothe ..,dirty clothe,-0.864082,5,Oct-18,0.011655,0.121941,0.090369,0.897711,0.070803,0.114269867,120,0.864082,0.114269867,0.002915452,288 days 00:00:00.000000000,2.804618614,cleanliness
